,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000000003,663.314178942498,499.925959506876,740.133370665379,608.928818182875,966.313730979547,748.363519160047,836.225220409545,605.578094449221
ENSG00000000419,456.211666518625,574.691672200984,526.48662449393,544.752496658699,498.441265452543,571.100718060055,452.864827156858,537.821104860497
ENSG00000000457,253.993647312297,235.456199678461,222.972596202743,244.765505348018,208.03766615992,236.588657919748,253.039579682369,242.442978372153
ENSG00000000460,58.61391861053,61.3748387787459,33.9121819319761,52.2365407754917,66.2323998386684,45.0304696342722,82.5365152612019,63.5221777394288
ENSG00000000971,3175.89749004722,4105.41876121829,5236.88869484541,6345.99346792545,5707.02511943193,7881.76172471618,5621.17109199975,8464.33018377889
ENSG00000001036,1399.89575614816,1185.0923415096,1469.24528220287,1314.86835494881,1209.16586372133,1028.55310799552,1475.88321368386,1174.10158521711
ENSG00000001084,507.010395981085,424.044340653153,504.443706238145,735.78898863764,696.289331637284,510.345322521751,755.860718707849,745.326885475965
ENSG00000001167,384.89806554248,263.3538536688,393.381310410923,261.182703877458,558.729731972357,417.42530581611,390.962440710956,284.791096865106
ENSG00000001460,168.026566683519,187.472234815078,223.820400751043,176.111766043086,204.64113283486,150.101565447574,168.331050861662,187.390424331315
ENSG00000001461,2063.20993509066,2083.39679999852,4355.17196461404,3965.49968115661,2322.37966100972,1966.33050736322,2679.1787256498,3075.53210555068
ENSG00000001497,511.894889198629,544.562205891418,540.899301815019,532.812715910015,574.014131935126,576.104103574974,535.401342418059,502.883907103811
ENSG00000001561,69.3598036891272,56.9112141402916,178.886759691174,232.825724599334,19.5300666190945,27.1612356524181,145.524908486856,182.096909519696
ENSG00000001617,542.178747147403,439.667026887743,767.26311621096,619.376126337973,617.31993182964,498.194243414091,671.152189887141,634.163074431964
ENSG00000001626,9.76898643508833,2.23181231922712,7.63024093469463,2.98494518717095,8.4913333126498,4.28861615564497,5.43003389876328,5.29351481161907
ENSG00000001629,1621.65174822466,1395.99860567657,1915.19047460835,1610.37792847873,2090.56626157438,1796.93016921524,2050.38080017301,1757.44691745753
ENSG00000001630,57.6370199670212,60.2589326191323,55.9551001877606,34.326869652466,71.3271998262583,62.1849342568521,33.6662101723323,62.463474777105
ENSG00000001631,712.159111117939,772.207062452585,799.479689046337,708.924481953102,878.003864527989,831.27676483585,793.870955999192,787.675003968917
ENSG00000002016,196.356627345275,179.660891697783,217.037964364647,147.754786764962,227.567732779015,183.69572533346,173.761084760425,145.042305838362
ENSG00000002079,2.9306959305265,0,2.54341364489821,1.49247259358548,3.39653332505992,0,0,1.05870296232381
ENSG00000002330,201.24112056282,194.16767177276,155.99603688709,165.664457887988,164.731866265406,185.840033411282,169.417057641414,187.390424331315
ENSG00000002549,1425.29512087939,1443.98257053995,1116.55859011031,1489.48764839831,1232.09246366549,1303.73931131607,926.363783129016,1091.52275415585
ENSG00000002586,7333.57811682081,8037.87206769648,8054.99101339263,9274.22469654016,9317.54004397062,9194.07826834354,7421.77033282965,7649.12890278955
ENSG00000002745,3.90759457403533,6.69543695768137,18.6517000625869,14.9247259358548,1.69826666252996,0.714769359274162,5.43003389876328,3.17610888697144
ENSG00000002746,147.511695169834,155.110956186285,99.1931321510302,97.010718583056,76.4219998138482,72.9064746459645,93.3965830587284,125.985652516534
ENSG00000002822,401.505342482131,338.119566362909,378.120828541534,291.032155749168,377.864332412916,373.824374900387,320.372000027034,317.610888697144
ENSG00000002834,6168.13803511477,7101.6267997807,6639.15741773263,8669.77329613804,5669.66325285627,8555.78923051172,6261.91509205381,8284.35068018384
ENSG00000002919,228.594282581067,274.512915264936,252.645755393222,314.911717246536,184.261932884501,268.753279087085,199.825247474489,280.556285015811
ENSG00000002933,1225.03089896008,1682.78648869725,539.203692718421,643.255687835341,21.2283332816245,19.2987727004024,76.0204745826859,115.398622893296
ENSG00000003056,1161.532487132,1056.76313315404,1073.32055814704,1034.28350735474,1093.68373066929,1111.46635367132,1039.30848822329,951.773963129108
ENSG00000003096,537.294253929858,351.510440278272,472.227133402768,255.212813503117,440.700198926525,202.994498033862,526.713288180038,237.149463560534
ENSG00000003137,121.135431795095,63.606651097973,217.037964364647,94.0257733958851,25.4739999379494,32.1646211673373,210.685315272015,71.9918014380193
ENSG00000003249,79.1287901242155,79.2293373325629,175.495541497977,119.397807486838,92.5555331078828,80.0541682387061,169.417057641414,135.513979177448
ENSG00000003393,751.235056858293,806.800153400605,670.613397704828,805.935200536158,946.783664360453,1078.58696314471,834.05320685004,914.719359447775
ENSG00000003400,95.7360670638657,65.8384634172001,112.758004923821,107.458026738154,49.2497332133688,35.0236986044339,104.256650856255,70.9330984756955
ENSG00000003402,1391.10366835658,2920.32641970869,1476.87552313756,3528.20521123607,1988.67026182258,3715.37112950709,1370.54055604785,3981.78184129986
ENSG00000003436,4271.97776806413,4667.83546566353,4912.17955284674,4820.68647728109,6236.03518481001,3560.2661785446,3748.89540370617,3538.18530008618
ENSG00000003509,280.369910687035,312.453724691797,302.666223742887,285.062265374826,327.765465868282,283.048666272568,272.587701717917,262.558334656306
ENSG00000003756,2313.29598782892,1950.60396700451,2283.98545311859,1980.51113168793,2247.6559278584,1801.21878537089,2167.6695323863,2194.69124089727
ENSG00000003987,16.6072769396502,27.897653990339,21.1951137074851,43.2817052139788,16.9826666252996,36.4532373229823,13.0320813570319,28.584979982743
ENSG00000003989,45.9142362449152,62.4907449383594,10.1736545795928,4.47741778075643,43.305799894514,72.9064746459645,19.5481220355478,48.7003362668954
ENSG00000004059,1064.81952142463,1457.37344445531,966.49718506132,1219.35010895933,1132.74386390748,1419.53194751849,1116.41496958573,1426.07289025018
ENSG00000004139,84.0132833417597,92.6202112479256,87.3238684748385,76.1161022728593,97.6503330954727,70.762166568142,89.0525559397178,81.5201280989336
ENSG00000004142,1461.44037068921,1724.07501660295,1362.42190911714,1438.7435802164,1489.37986303877,1644.68429568985,1230.44568145976,1329.73092067871
ENSG00000004399,3982.81576958551,4753.76023995377,3095.33440584112,2461.08730682245,4574.28125552445,4282.89800077078,2951.76642736772,2973.89662116759
ENSG00000004455,1179.11666271516,1239.77174333067,1258.98975422461,1144.72647928006,1271.15259690367,1625.38552298944,1104.46889500845,975.065428300232
ENSG00000004468,2.9306959305265,1.11590615961356,0,0,2.54739999379494,0.714769359274162,2.17201355950531,1.05870296232381
ENSG00000004478,490.403119041434,514.432739581852,467.140306112971,419.384798797519,519.669598734168,471.033007761673,434.402711901062,415.011561230935
ENSG00000004487,1377.42708734745,1103.63119185781,1264.92438606271,1085.02757553664,1450.31972980059,1153.6377458685,1371.6265628276,1095.75756600515
ENSG00000004534,1174.23216949762,1132.64475200776,1572.67743709539,1371.58231350505,1461.35846310703,1225.11468179591,1271.71393909036,1072.46610083402
ENSG00000004660,92.8053711333392,61.3748387787459,50.0204683496648,52.2365407754917,73.8745998200532,56.4667793826588,167.245044081909,70.9330984756955
ENSG00000004700,918.284724898303,1223.03315093646,1010.58302157289,1143.23400668648,805.827531370466,1037.84510966608,881.837505159157,1261.97393108999
ENSG00000004766,480.634132606346,460.869243920401,462.901283371474,502.963264038306,518.820465402903,483.898856228608,472.412949192405,448.890056025297
ENSG00000004776,3392.76898890618,3434.75915929054,2352.65762153084,2419.29807420206,1769.59386235622,1611.09013580396,3878.13021049673,3338.09044020698
ENSG00000004777,127.973722299657,124.981489876719,113.60580947212,83.5784652407867,77.2711331451132,54.3224713048363,120.546752552545,75.1679103249908
ENSG00000004779,321.399653714406,373.828563470543,418.815446859905,385.057929145053,354.088599137497,408.848073504821,319.285993247281,344.078462755239
ENSG00000004799,79.1287901242155,872.638616817805,110.214591278922,1650.67468850554,199.54633284727,346.663139247968,682.012257684668,3374.08634092599
ENSG00000004838,11.722783722106,12.2749677557492,18.6517000625869,11.9397807486838,10.1895999751798,12.8658484669349,18.4621152557952,6.35221777394288
ENSG00000004846,22.4686688007032,3.34771847884068,59.3463183809582,16.4171985294402,6.79306665011984,6.43292423346746,23.8921491545584,5.29351481161907
ENSG00000004864,139.696506021763,130.561020674787,111.062395827222,131.337588235522,192.75326619715,202.994498033862,158.556989843888,136.572682139772
ENSG00000004866,438.627490935466,289.019695339912,654.505111287139,359.6858950541,447.493265576644,358.814218355629,435.488718680815,313.376076847849
ENSG00000004897,1513.21599879518,1494.19834772256,1466.70186855797,1652.16716109912,1522.49606295811,1553.19381770275,1453.07707130905,1489.59506798961
ENSG00000004961,435.69679500494,368.249032672475,450.184215146983,428.339634359032,565.522798622477,431.720693001594,390.962440710956,428.774699741144
ENSG00000004975,1334.44354703307,1118.13797193279,906.303062132062,770.115858290106,1050.37793077478,758.370290189886,1107.72691534771,890.369191314327
ENSG00000005007,2108.14727269206,2528.64335768433,2065.25187965735,2265.57339706275,1987.82112849132,2365.88657919748,2132.91731543422,2641.46389099791
ENSG00000005020,813.756570042858,871.522710658191,606.180252034073,829.814762033525,540.897932015792,591.114260119732,835.139213629792,957.067477940727
ENSG00000005022,1309.04418230184,1181.74462303076,1121.64541740011,1171.5909859646,1098.77853065688,1036.41557094753,1001.29825093195,1031.17668530339
ENSG00000005059,210.033208354399,219.833513443872,211.103332526551,264.167649064629,163.882732934141,145.812949291929,229.14743052781,249.85389910842
ENSG00000005075,778.58821887654,923.970300160029,856.282593782397,789.518002006717,832.15066463968,904.183239481815,736.312596672301,722.035420304841
ENSG00000005100,423.974011282834,496.578241028035,412.880815021809,531.32024331643,443.247598920319,496.764704695542,411.596569526257,664.865460339355
ENSG00000005108,8.7920877915795,7.81134311729493,5.08682728979642,11.9397807486838,7.64219998138482,14.2953871854832,13.0320813570319,15.8805444348572
ENSG00000005156,223.709789363523,159.574580824739,205.168700688456,138.799951203449,294.649265948948,292.340667943132,197.653233914983,133.3965732528
ENSG00000005175,338.983829297565,328.076410926387,200.929677946959,183.574129011014,435.605398938935,320.931442314099,374.672339014666,315.493482772496
ENSG00000005187,3.90759457403533,6.69543695768137,10.1736545795928,14.9247259358548,7.64219998138482,7.14769359274162,13.0320813570319,6.35221777394288
ENSG00000005189,80.1056887677243,69.1861818960408,74.6068002503475,86.5634104279577,78.1202664763781,37.8827760415306,100.998630516997,75.1679103249908
ENSG00000005194,403.459139769148,457.52152544156,472.227133402768,525.350352942088,455.984598889294,489.617011102801,385.532406812193,453.124867874592
ENSG00000005206,664.291077586007,653.921009533547,644.331456707547,623.853544118729,635.151731786205,749.793057878596,633.141952595798,669.10027218865
ENSG00000005238,786.403408024611,699.673162077703,720.633866054493,591.019147059849,839.792864621065,684.034276825373,647.260040732583,657.454539603088
ENSG00000005243,1105.849264452,1035.56091612138,1129.27565833481,1126.81680815704,840.64199795233,777.669062890288,1127.27503738326,995.180784584385
ENSG00000005249,214.917701571943,270.049290626482,238.233078072132,473.113812166596,247.097799398109,276.615742039101,226.975416968305,437.244323439735
ENSG00000005302,469.888247527749,583.618921477893,419.663251408205,471.621339573011,421.17013230743,491.046549821349,438.746739020073,401.248422720725
